attr,accuracy
+Extent,0.9111111111111111
+Extent,0.9
+Extent,0.9111111111111111
+Extent,0.9111111111111111
+Extent,0.7888888888888889
+Extent,0.8888888888888888
+Extent,0.8333333333333334
+Extent,0.9
+Extent,0.9222222222222223
+Extent,0.9222222222222223
+Extent,0.9111111111111111
+Extent,0.9111111111111111
+Extent,0.7888888888888889
+Extent,0.8888888888888888
+Extent,0.8333333333333334
+Extent,0.9
+Extent,0.9222222222222223
+Extent,0.9222222222222223
+Extent,0.9111111111111111
+Extent,0.9111111111111111
-Perimeter,0.5
-Perimeter,0.9111111111111111
-Perimeter,0.6777777777777778
-Perimeter,0.7222222222222222
-Perimeter,0.9
-Perimeter,0.9111111111111111
-Perimeter,0.9
-Perimeter,0.7666666666666667
-Perimeter,0.5
-Perimeter,0.9111111111111111
-Perimeter,0.6777777777777778
-Perimeter,0.8333333333333334
-Perimeter,0.9
-Perimeter,0.9111111111111111
-Perimeter,0.9
-Perimeter,0.5
-Perimeter,0.5
-Perimeter,0.7333333333333333
-Perimeter,0.8
-Perimeter,0.9222222222222223
-Perimeter,0.9111111111111111
-Perimeter,0.9222222222222223
-Perimeter,0.9111111111111111
-Perimeter,0.5
-Perimeter,0.5
-Perimeter,0.7333333333333333
-Perimeter,0.8
-Perimeter,0.9222222222222223
-Perimeter,0.9111111111111111
-Perimeter,0.9222222222222223
-Perimeter,0.9111111111111111
-Perimeter,0.4888888888888889
-Perimeter,0.5
-Perimeter,0.9111111111111111
-Perimeter,0.6777777777777778
-Perimeter,0.7333333333333333
-Perimeter,0.9
-Perimeter,0.9111111111111111
-Perimeter,0.9
-Perimeter,0.7777777777777778
-Perimeter,0.5
-Perimeter,0.9111111111111111
-Perimeter,0.6777777777777778
-Perimeter,0.8333333333333334
-Perimeter,0.9
-Perimeter,0.9111111111111111
-Perimeter,0.9
-Perimeter,0.5
-Perimeter,0.5
-Perimeter,0.7333333333333333
-Perimeter,0.8
-Perimeter,0.9222222222222223
-Perimeter,0.9111111111111111
-Perimeter,0.9222222222222223
-Perimeter,0.9111111111111111
-Perimeter,0.5
-Perimeter,0.5
-Perimeter,0.7333333333333333
-Perimeter,0.8
-Perimeter,0.9222222222222223
-Perimeter,0.9111111111111111
-Perimeter,0.9222222222222223
-Perimeter,0.9111111111111111
+Perimeter,0.8888888888888888
+Perimeter,0.7888888888888889
+Perimeter,0.9111111111111111
+Perimeter,0.8222222222222222
+Perimeter,0.9111111111111111
+Perimeter,0.9
+Perimeter,0.9111111111111111
+Perimeter,0.9111111111111111
+Perimeter,0.8888888888888888
+Perimeter,0.7888888888888889
+Perimeter,0.9111111111111111
+Perimeter,0.8222222222222222
+Perimeter,0.9111111111111111
+Perimeter,0.9
+Perimeter,0.9111111111111111
+Perimeter,0.9111111111111111
+Perimeter,0.7888888888888889
+Perimeter,0.8888888888888888
+Perimeter,0.8333333333333334
+Perimeter,0.9
+Perimeter,0.9222222222222223
+Perimeter,0.9222222222222223
+Perimeter,0.9111111111111111
+Perimeter,0.9111111111111111
+Perimeter,0.7888888888888889
+Perimeter,0.8888888888888888
+Perimeter,0.8333333333333334
+Perimeter,0.9
+Perimeter,0.9222222222222223
+Perimeter,0.9222222222222223
+Perimeter,0.9111111111111111
+Perimeter,0.9111111111111111
+Perimeter,0.8888888888888888
+Perimeter,0.7888888888888889
+Perimeter,0.9
+Perimeter,0.8222222222222222
+Perimeter,0.9111111111111111
+Perimeter,0.9
+Perimeter,0.9111111111111111
+Perimeter,0.9111111111111111
+Perimeter,0.8888888888888888
+Perimeter,0.7888888888888889
+Perimeter,0.9
+Perimeter,0.8222222222222222
+Perimeter,0.9111111111111111
+Perimeter,0.9
+Perimeter,0.9111111111111111
+Perimeter,0.9111111111111111
+Perimeter,0.7888888888888889
+Perimeter,0.8888888888888888
+Perimeter,0.8333333333333334
+Perimeter,0.9
